milliliter,seconds
10,4.30
10,4.08
11,4.10
10.5,3.83
11,4.03
11,3.83
10,4.17
10,4.43
10,4.37
10,4.55
11,4.49
9.5,3.64
13.3,4.52
12.2,4.21
9.9,4.33
10,4.27
10.5,4.41
10.7,4.35
11.6,4.48
10.7,4.33
11.2,4.28
13,4.59
9.2,4.4
11,4.34
11.6,4.86
11.6,4.6
15.8,4.72
13.4,4.4
11.8,4.41
12,4.27
